,Unnamed: 0,id,campaign_disc_ele,cons_12m,cons_gas_12m,cons_last_month,date_activ,date_end,date_first_activ,date_modif_prod,date_renewal,forecast_base_bill_ele,forecast_base_bill_year,forecast_bill_12m,forecast_cons,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,activity_apd,activity_ckf,activity_clu,activity_cwo,activity_fmw,activity_kkk,activity_kwu,activity_sfi,activity_wxe
10,10,f53a254b1115634330c12c7fdbf7958a,,2962,0,0,2011-09-23,2016-09-23,,2011-09-23,2015-09-25,,,,,444.38,0,0.0,15.85,0.1457109999999999,0.0,44.31137796,0,0.0,12.82,12.82,1,42.59,4,13.2,0,0,0,0,0,0,0,0,0
11,11,10c1b2f97a2d2a6f10299dc213d1a370,,26064,0,2188,2010-05-04,2016-05-04,,2015-04-29,2015-05-05,,,,,2738.1,2188,0.0,130.43,0.1157609999999999,0.099419,40.606701,0,219.59,33.42,33.42,1,329.6,6,31.5,0,0,0,0,0,0,0,0,0
12,12,d5e512dbc8118a830a7b8c7f61d89992,,10831,0,3112,2011-07-11,2016-07-11,,2011-07-11,2015-07-12,,,,,1204.58,3112,0.0,20.94,0.1646369999999999,0.087381,44.31137796,0,349.48,14.52,14.52,1,108.5,5,11.5,0,0,0,0,0,0,0,0,0
13,13,6ee77a019251bcc304c88167e0dfcb4c,,4442,0,2489,2009-11-26,2016-11-26,,2009-11-26,2015-11-27,,,,,561.96,2489,0.0,20.5,0.1670859999999999,0.088444,46.30537836,0,308.41,21.09,21.09,1,18.41,6,10.392,0,0,0,0,0,0,0,0,0
14,14,2c05848e1a577dd041ea6804bbf5bbf5,,46121,1542867,5280,2011-09-01,2016-10-30,2011-09-01,2013-10-30,2015-11-01,643.44,643.44,5718.05,523.68,4502.43,5280,0.0,145.81,0.1152369999999999,0.100123,40.606701,1,523.68,5.52,5.52,2,533.46,4,16.5,0,0,0,0,0,1,0,0,0
15,15,21860c2ff2d5df75503b230ce629c253,,7726,0,0,2013-01-22,2017-01-22,,2015-11-18,2016-01-24,,,,,914.1,0,0.0,74.66,0.162327,0.084428,44.31137796,0,0.0,33.12,33.12,1,89.02,3,13.2,0,0,0,0,0,0,0,0,0
16,16,227254ed8be1393d5e37e6dc9c3f359b,,55084,0,8709,2012-11-01,2016-10-31,,2015-09-18,2015-11-01,,,,,1765.35,3513,0.0,0.0,0.098925,0.09135,58.99595196,0,290.91,-2.08,-2.08,1,140.26,3,10.0,0,0,0,0,0,0,0,0,0
17,17,c5037389dd8be351d3c40f2973da2391,,9707,0,0,2010-12-01,2016-12-01,,2010-12-01,2015-12-02,,,,,1028.52,0,0.0,15.37,0.168242,0.089602,45.30837756,0,0.0,15.78,15.78,1,111.59,5,13.856,0,0,0,0,0,0,0,0,0
18,18,e4773b60d2e68aac94795782abfc006b,,47019,0,3161,2012-04-20,2016-04-20,,2012-04-20,2015-04-21,,,,,1687.29,1080,0.0,16.08,0.144902,0.0,44.31137796,0,158.53,19.28,19.28,1,130.14,4,10.392,1,0,0,0,0,0,0,0,0
19,19,bd14bbac3aca710ee5288fcd8511d4bb,,786536,80583,85883,2010-02-15,2016-02-15,2010-02-15,2010-02-15,2015-02-16,2669.59,2669.59,14047.18,2585.38,13517.5,23298,0.0,16.6,0.1640579999999999,0.086163,44.31137796,1,2585.38,25.68,25.68,2,1087.76,6,11.4,1,0,0,0,0,0,0,0,0
20,20,4e4a34a6d91ff25d0fdf68733907ad44,,30776,0,0,2011-08-01,2016-07-25,,2014-07-25,2015-07-27,,,,,3045.16,0,0.0,118.24,0.1128599999999999,0.096521,40.606701,0,0.0,19.29,19.29,1,335.78,5,25.0,0,0,0,0,0,0,0,0,0
21,21,f2b93783adecf0d0d8d60ab547bda3de,,24838,0,2877,2011-05-27,2016-05-27,,2011-05-27,2015-05-31,,,,,1088.35,798,0.0,141.79,0.115174,0.098837,40.606701,0,79.36,21.57,21.57,1,117.44,5,15.001,0,0,0,0,0,0,0,0,0
22,22,47e976c5d7f1ee1fee6d60ca39fd0218,,15411,0,0,2012-05-28,2016-05-28,,2012-05-28,2015-05-31,,,,,194.42,0,0.0,18.31,0.1457109999999999,0.0,44.31137796,0,0.0,23.97,23.97,1,19.07,4,13.0,0,0,0,0,0,0,0,0,0
23,23,db6ac41fb6972374f28bc6f8e43b9764,,16782,0,1908,2009-10-01,2016-10-01,,2009-10-01,2015-10-03,,,,,1686.67,1908,0.0,131.77,0.1152369999999999,0.100123,40.606701,1,189.79,6.6,6.6,2,203.35,6,19.8,0,0,0,0,0,1,0,0,0
24,24,bee0c7e972180fbee50c2ea15b12965c,,26987,0,4099,2011-03-04,2016-03-04,,2011-03-04,2015-03-09,,,,,2761.95,4099,0.0,129.95,0.1186359999999999,0.10175,40.606701,0,413.68,47.35,47.35,1,316.53,5,35.0,0,0,0,0,0,0,0,0,0
25,25,78014630fbac3e6aa980361d25cea748,,20560,0,3804,2012-12-31,2016-12-31,,2015-11-01,2016-01-01,,,,,3037.82,3804,0.0,0.0,0.142417,0.0,44.31137796,0,548.89,4.14,4.14,1,255.96,3,11.0,0,0,0,0,0,0,0,0,0
26,26,050706fa01538720da274cbeb6e1f983,,21097,0,0,2013-04-04,2016-04-04,,2015-11-24,2015-04-05,,,,,2257.99,0,,110.78,,,,0,0.0,25.92,25.92,1,291.78,3,17.320999999999998,0,0,0,0,0,0,0,0,0
27,27,5789c446141a44a9b405db35682f6eb5,,12157,0,0,2013-02-27,2016-02-27,,2015-12-16,2015-03-09,,,,,1418.81,0,0.0,16.42,0.160302,0.082403,44.31137796,0,0.0,23.4,23.4,2,123.87,3,10.392,0,0,0,0,0,0,0,0,0
28,28,ed5bc499fecb8eee257857fd286ebd65,,13122,0,0,2009-12-07,2016-12-07,,2015-11-01,2015-12-08,,,,,1932.42,0,0.0,19.51,0.143478,0.0,44.31137796,0,0.0,3.56,3.56,1,150.7,6,13.2,0,0,0,0,0,0,0,0,0
29,29,389bbbe70248fbeecdf9bb1bd0d1da04,,3584,0,322,2010-11-17,2016-11-17,2010-11-17,2010-11-17,2015-11-18,202.63,202.63,2001.81,32.61,379.83,322,0.0,145.98,0.1152369999999999,0.100123,41.1052014,0,32.61,57.72,57.72,1,38.76,5,23.1,0,0,0,0,0,0,0,0,0
30,30,31615bef53242dfedeaf275214044ca1,,2632,0,0,2010-07-12,2016-07-12,,2010-07-12,2015-07-14,,,,,394.83,0,0.0,15.98,0.1457109999999999,0.0,44.31137796,0,0.0,14.64,14.64,1,38.62,6,10.392,0,0,0,0,0,0,0,0,0
31,31,74ff037708f036de5745ce34d8d9d4df,,4792,0,0,2011-12-12,2016-12-12,,2015-11-01,2015-12-14,,,,,719.4,0,0.0,0.0,0.144039,0.0,45.80687796,0,0.0,19.42,19.42,1,60.0,4,12.5,0,0,0,0,0,1,0,0,0
32,32,7287dad2f1f535d03435ea7c78b557c4,,7950,0,1100,2009-10-01,2016-10-01,,2009-10-01,2015-10-02,,,,,856.81,1100,0.0,132.16,0.1152369999999999,0.100123,40.9390266,0,113.82,20.0,20.0,1,94.01,6,15.01,0,0,0,0,0,0,0,0,0
33,33,26c7bba7d51f86a16109de505bcd4f52,,1856956,41883,164355,2010-09-20,2016-09-20,,2010-09-20,2015-09-23,,,,,3074.16,0,0.0,99.05,0.1152369999999999,0.100123,40.606701,1,0.0,43.44,43.44,2,487.42,5,29.0,1,0,0,0,0,0,0,0,0
34,34,44e826a55734d0ca5eeafcae0e991a75,,324,0,0,2009-07-07,2016-07-07,,2015-05-23,2015-07-09,,,,,8.32,0,0.0,1.08,0.14317,0.0,44.31137796,0,0.0,18.62,18.62,2,1.27,7,13.2,0,0,0,0,0,0,0,0,0
35,35,4bffd9d74bfb770ef7763e8e4e88dfc3,,2103,0,0,2011-12-14,2016-08-06,,2015-08-06,2015-01-05,,,,,355.17,0,30.0,19.6,0.198096,0.0,46.30537836,0,0.0,27.96,27.96,2,19.0,4,10.392,0,0,0,0,0,0,0,0,0
36,36,2d9d0546d83c60ed3d5728d744d65c40,,19593,0,0,2012-07-03,2016-07-03,2012-07-03,2013-10-31,2015-07-04,0.0,0.0,3412.67,0.0,2886.5,0,0.0,17.55,0.143166,0.0,44.31137796,0,0.0,17.45,17.45,1,243.99,4,13.856,0,0,0,0,0,0,0,0,0
37,37,79d29481ee261caf08387bcef9e4346d,,41814,0,4159,2012-10-10,2016-10-10,,2014-06-26,2015-10-11,,,,,4107.43,4159,0.0,129.97,0.1165089999999999,0.101397,40.606701,0,412.54,10.16,10.16,1,477.42,3,30.45,0,0,0,0,0,0,0,0,0
38,38,044d071a5dbc2668cddad4f2b28c91d1,,37969,0,3407,2005-03-28,2016-03-28,,2015-03-09,2015-03-29,,,,,3879.98,3407,0.0,130.68,0.114604,0.098262,40.606701,0,330.3,44.64,44.64,1,407.98,11,33.0,0,0,0,0,0,0,0,0,0
39,39,af87b64523cf1f4f4a681e2cc44c8629,,41214,0,3538,2011-11-04,2016-11-04,2011-11-04,2015-11-01,2015-11-05,505.52,505.52,5739.26,352.08,4294.49,3538,0.0,146.56,0.1153599999999999,0.100243,40.606701,0,352.08,3.72,3.72,1,505.47,4,19.8,0,0,0,0,0,0,1,0,0
40,40,9403f3f9ff06ec9e49db8255ede2b098,,2012791,0,218619,2011-06-22,2016-06-22,,2011-06-22,2015-06-23,,,,,547.35,346,0.0,16.12,0.144902,0.0,44.31137796,0,50.79,21.52,21.52,1,50.38,5,13.2,1,0,0,0,0,0,0,0,0
41,41,51a7edcf29ed04830da6b3ee79f9e508,,20429,0,0,2010-03-12,2016-03-12,,2010-03-12,2015-03-13,,,,,869.54,0,0.0,120.45,0.120372,0.103487,40.606701,0,0.0,60.39,60.39,1,111.64,6,26.6,0,0,0,0,0,1,0,0,0
42,42,d9260de11c54a215fa7363f603bbeaf6,,5957,0,794,2010-06-08,2016-06-08,,2010-06-08,2015-06-23,,,,,510.87,315,0.0,18.47,0.1457109999999999,0.0,44.31137796,0,46.17,24.4,24.4,1,50.71,6,15.0,0,0,0,0,0,0,0,0,0
43,43,a853b52e3992aa2df0870fe42d843a65,,6047,0,0,2011-11-23,2016-11-23,,2011-11-23,2015-11-24,,,,,913.0,0,0.0,19.54,0.147506,0.0,45.80687796,0,0.0,17.13,17.13,1,86.43,4,10.392,0,0,0,0,0,0,0,0,0
44,44,91607f6e0ed7143ab1a5b2abc20f1c00,,1938393,0,312684,2012-09-01,2016-09-01,2012-09-01,2012-09-01,2015-09-02,609.1,609.1,4286.56,513.03,3426.48,3537,0.0,51.6,0.143166,0.0,44.31137796,0,513.03,11.95,11.95,1,279.26,3,13.85,1,0,0,0,0,0,0,0,0
45,45,757ea31873662fe77d60e8c4f736a1ec,,9141,0,1592,2012-03-01,2016-09-20,,2015-09-20,2014-03-03,,,,,419.22,523,0.0,16.32,0.142881,0.0,46.30537836,0,74.39,29.5,29.5,1,30.9,4,13.856,0,0,0,0,0,0,0,0,0
46,46,d53f9011d82ed1f4850d0d312d04468b,,4259,0,0,2012-06-25,2016-07-09,,2014-07-09,2015-07-12,,,,,632.17,0,0.0,16.74,0.144902,0.0,44.31137796,0,0.0,14.64,14.64,1,64.34,4,10.392,0,0,0,0,0,0,0,0,0
47,47,af47b8ea9a596c200ee39128a95738f9,,12199,0,0,2011-01-10,2016-02-29,,2011-01-10,2015-03-09,,,,,1811.9,0,0.0,21.1,0.145877,0.0,44.31137796,0,0.0,23.4,23.4,1,156.21,5,10.392,0,0,0,0,0,0,0,0,0
48,48,f8943edfeb1783f3793d3abc6305c1e3,,13859,0,0,2011-03-15,2016-03-15,2011-03-15,2011-03-15,2015-03-16,0.0,0.0,497.77,0.0,8.83,0,0.0,18.26,0.146694,0.0,44.31137796,0,0.0,30.22,30.22,1,0.88,5,13.2,0,0,0,0,0,0,0,1,0
49,49,adfec8a906dfa5c6d836231e65825539,,110534,0,7546,2012-04-04,2016-04-04,,2012-04-04,2015-04-05,,,,,3485.92,2797,0.0,131.87,0.1169099999999999,0.100572,40.606701,0,272.68,32.1,32.1,1,416.74,4,26.61,1,0,0,0,0,0,0,0,0
50,50,c6951b289531272a5d02c095db1fb55f,,13332,0,0,2008-06-19,2016-04-28,,2008-07-10,2015-04-29,,,,,1258.31,0,0.0,132.68,0.1001669999999999,0.091892,58.99595196,0,0.0,-1.3,-1.3,2,103.38,8,25.0,0,0,0,0,0,0,0,0,0
51,51,34f2d4431b7db25cd660b098acf3d3a0,,79090,0,3319,2009-08-01,2016-08-01,,2015-07-12,2015-08-02,,,,,2690.38,2191,0.0,130.47,0.114025,0.097683,40.606701,0,201.4,12.36,12.36,1,311.76,6,19.8,0,0,0,0,0,0,0,0,0
52,52,cdcc2c363d5b34232082cee78776e59e,,5162,0,0,2010-11-18,2016-11-18,2010-11-18,2010-11-18,2015-11-21,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0006,0.0,0.0,0,0.0,24.33,24.33,1,80.3,5,13.86,0,0,0,0,0,0,0,0,0
53,53,b96aa3a8655203318c6b853dbdb0ceb7,,88178,0,6094,2010-01-15,2016-02-14,2010-01-15,2013-09-14,2015-02-16,852.91,852.91,11681.62,611.08,9070.33,6094,0.0,145.41,0.115744,0.098858,40.606701,0,611.08,32.88,32.88,1,719.37,6,33.0,0,0,0,0,0,0,1,0,0
54,54,54a77b7ec412ca7133750d2cb2a24096,,22333,0,2237,2010-11-17,2016-11-17,,2015-05-24,2015-11-18,,,,,2377.86,2237,0.0,143.04,0.1152369999999999,0.100123,40.606701,0,226.86,9.93,9.93,1,234.39,5,52.5,0,0,0,0,0,0,0,0,0
55,55,0f7487e3c557be9c77570e11ce572454,,31653,0,124,2011-03-05,2016-03-05,,2011-03-05,2015-03-06,,,,,82.03,124,0.0,129.6,0.120372,0.103487,40.606701,0,12.19,108.9,108.9,1,10.32,5,48.0,0,0,0,0,0,0,0,0,0
56,56,17e84c1bc19211777dfbb1cca8af94fc,,463646,0,40551,2013-06-22,2016-10-09,,2013-10-09,2015-10-11,,,,,2858.82,0,0.0,117.54,0.1152369999999999,0.100123,40.606701,0,0.0,11.04,11.04,1,372.55,3,33.0,0,0,1,0,0,0,0,0,0
57,57,b664719a6cbb1966d9987c3f6ec6d209,,10602,0,951,2012-03-13,2016-03-13,,2012-03-13,2015-03-16,,,,,1122.03,951,0.0,129.61,0.120372,0.103487,40.606701,0,98.66,36.22,36.22,1,137.56,4,20.0,0,0,0,0,0,0,0,0,0
58,58,d8e589d515b7c905bb73eece1d8781d8,,21553,0,0,2013-04-09,2016-04-09,2013-04-09,2013-04-09,2015-04-12,0.0,0.0,3607.54,0.0,3213.49,0,0.0,16.09,0.144149,0.0,44.31137796,0,0.0,19.28,19.28,1,301.91,3,10.392,0,0,0,0,0,0,0,0,0
59,59,a20ef5d293e20e3d9e9f60cf2be3ce63,,348859,0,53135,2010-12-20,2016-12-20,,2010-12-20,2015-12-21,,,,,2767.31,2368,0.0,142.63,0.1165089999999999,0.101397,40.606701,0,218.34,4.46,4.46,1,364.43,5,100.0,1,0,0,0,0,0,0,0,0
60,60,64c0ca2d8c32cd4985b6ab53f17f897f,,10019,0,0,2012-11-01,2016-11-01,,2012-11-01,2015-11-02,,,,,775.26,0,0.0,16.34,0.236794,0.0,44.31137796,0,0.0,-1.23,-1.23,1,335.8,3,13.2,0,0,0,0,0,0,0,0,0
61,61,413f4bf21686876dd0d9a2bf0cc5ba1f,,7314,0,1542,2012-05-28,2016-05-28,,2012-05-28,2015-05-29,,,,,1094.82,1542,0.0,18.32,0.1457109999999999,0.0,44.31137796,0,226.96,27.69,27.69,1,111.5,4,15.0,0,0,0,0,0,0,0,0,0
62,62,3bd97d79feb083b315baa9545c76c84d,,1129316,0,79977,2011-12-17,2016-12-17,,2011-12-17,2015-12-20,,,,,1346.17,1174,0.0,129.24,0.1165089999999999,0.101397,40.606701,0,117.71,2.46,2.46,1,172.91,4,19.72,1,0,0,0,0,0,0,0,0
63,63,cb5171895e4a15e2c72cbbd7cf054cbf,,11399,0,1105,2011-05-26,2016-04-01,,2014-04-01,2015-04-02,,,,,2158.81,1105,24.0,14.44,0.186188,0.0,45.80687796,0,206.39,37.56,37.56,1,864.94,5,12.5,0,0,0,0,0,0,0,0,0
64,64,b50576e9fd15d9fa7e550be0f19fbf9e,,162691,0,18860,2011-01-06,2017-01-06,,2011-01-06,2016-01-07,,,,,7603.69,9069,0.0,130.68,0.115744,0.098858,40.606701,0,836.8,16.32,16.32,1,677.58,5,16.4,1,0,0,0,0,0,0,0,0
65,65,063acc614e176cf9edb486d267a90097,,158223,188601,17754,2010-04-10,2016-04-10,,2013-09-16,2015-04-12,,,,,5658.04,9471,0.0,129.26,0.114481,0.098142,40.606701,1,940.24,35.81,35.81,3,580.06,6,40.0,0,0,0,0,0,0,0,0,0
66,66,cd2ac5886d344c93b3a2358e4604e1fe,,84410,186857,7891,2011-12-02,2016-12-02,,2014-11-17,2015-12-03,,,,,3166.13,3007,0.0,132.13,0.1165089999999999,0.101397,40.606701,1,302.49,0.7999999999999989,0.7999999999999989,4,396.63,4,17.25,0,0,0,0,0,0,0,0,0
67,67,78b67084b27f0d33429985d7a1fd6258,,2887,0,0,2013-01-08,2017-01-08,,2013-01-08,2016-01-10,,,,,436.45,0,0.0,14.91,0.146694,0.0,44.31137796,0,0.0,34.68,34.68,1,49.0,3,13.856,0,0,0,0,0,0,0,0,0
68,68,ac9b40690cdc78263fecc452bd92c227,,8647,0,829,2010-01-28,2016-01-28,,2010-01-28,2015-01-30,,,,,399.54,389,0.0,129.6,0.1169,0.1000149999999999,40.606701,0,37.53,51.96,51.96,1,45.47,6,20.785,0,0,0,0,0,0,0,0,0
69,69,4d4a8d5a884e49e2a8f7994b21a3cb18,,10,0,0,2011-06-09,2016-06-09,,2011-06-09,2015-06-21,,,,,1.52,0,0.0,6.67,0.1457109999999999,0.0,44.31137796,0,0.0,21.52,21.52,1,0.16,5,13.2,0,0,0,0,0,0,0,0,0
70,70,d26bcf1a3e3f6252b9812903f402dcf1,,5682,0,0,2011-03-08,2016-03-08,,2011-03-08,2015-03-09,,,,,853.4,0,0.0,17.35,0.1458839999999999,0.0,44.31137796,0,0.0,23.76,23.76,1,82.52,5,10.392,0,0,0,0,0,0,0,0,0
71,71,d44fcb35df8f88e9032ad52678d060a3,,1017579,187578,120936,2011-06-14,2016-06-14,2011-06-14,2011-06-14,2015-06-23,228.76,228.76,2176.43,11.86,100.27,125,0.0,146.81,0.115174,0.098837,40.606701,1,11.86,47.0,47.0,2,14.59,5,29.7,1,0,0,0,0,0,0,0,0
72,72,327e887296aa77019b4954c6bb0a8cc3,,16605,227049,2000,2010-01-12,2016-02-09,,2010-01-12,2015-02-11,,,,,1694.72,2000,0.0,132.19,0.1169,0.1000149999999999,40.606701,1,200.09,24.72,24.72,2,183.25,6,16.5,0,0,0,0,0,1,0,0,0
73,73,6f062ee9f3f8b2a404078abb4cd85510,,2502,0,0,2012-06-11,2016-06-11,,2012-06-11,2015-06-14,,,,,375.75,0,0.0,19.51,0.1457109999999999,0.0,44.31137796,0,0.0,22.52,22.52,1,35.96,4,13.856,0,0,0,0,0,0,0,0,0
74,74,d8fba21592000ae17ac964d93e827c05,,179907,124659,30003,2004-06-03,2016-06-03,,2004-06-03,2015-06-23,,,,,17385.87,30003,0.0,133.4,0.1100829999999999,0.093746,40.606701,1,2903.59,-3.16,-3.16,4,1166.47,12,37.29,0,0,0,0,0,0,1,0,0
75,75,9cdfb70886ecb55f8a8620af8a99a722,,92718,0,7895,2009-09-09,2016-09-09,2009-09-09,2009-09-09,2015-09-10,1113.65,1113.65,12469.68,735.06,8796.43,7895,0.0,145.77,0.113323,0.096984,40.606701,1,735.06,14.94,14.94,2,848.79,6,55.0,0,0,0,0,0,0,0,0,0
76,76,d8711ce9aef0a42cf24b1e65da32fe3f,,597,0,0,2009-12-01,2016-12-01,,2015-11-01,2015-12-02,,,,,74.51,0,0.0,13.64,0.16304,0.084395,46.30537836,0,0.0,20.54,20.54,1,20.73,6,10.392,0,0,0,0,0,0,0,0,0
77,77,215fcb61cd9905b5e605b292666975d9,,64516,21201,3764,2013-03-22,2016-03-22,,2014-06-25,2015-03-23,,,,,4766.96,3764,0.0,145.03,0.1186359999999999,0.10175,40.606701,1,376.57,22.44,22.44,2,530.16,3,15.001,0,0,0,0,0,0,0,0,0
78,78,33e5a46305e282aef856ef00fee02e2c,,67923,14693,4898,2012-09-14,2016-02-04,2012-09-14,2014-02-04,2015-02-05,611.72,611.72,8311.65,469.1,6714.09,4898,0.0,147.79,0.112852,0.095965,40.606701,1,469.1,19.92,19.92,2,571.66,3,20.0,0,0,0,0,1,0,0,0,0
79,79,270835591aad4b5231d23fb7bdcd3bcf,,6383,0,1116,2010-01-21,2017-01-21,,2015-11-16,2016-01-22,,,,,958.79,1116,0.0,16.26,0.145541,0.0,44.31137796,0,163.87,34.68,34.68,1,101.81,6,13.856,0,0,0,0,0,0,0,0,0
80,80,d766f436878bdf7c211ad1546e4357e9,,7042,0,0,2011-11-23,2016-11-23,,2011-11-23,2015-11-24,,,,,1058.3,0,0.0,19.49,0.147506,0.0,45.80687796,0,0.0,22.89,22.89,1,102.08,4,13.856,0,0,0,0,0,0,0,0,0
81,81,38ff1f75487719c54ba3d4a46f9ee244,,19704,45795,1466,2010-12-08,2016-12-08,,2014-11-17,2015-12-09,,,,,1991.63,1466,0.0,128.19,0.1165089999999999,0.101397,40.606701,1,147.9,60.84,60.84,3,66.87,5,25.0,0,0,0,0,0,0,0,0,0
82,82,a29ad433a1585b364e5485ec55b6bbc3,,15803,0,0,2010-01-01,2017-01-01,,2010-01-01,2016-01-02,,,,,461.63,0,0.0,16.48,0.1458839999999999,0.0,44.31137796,0,0.0,37.56,37.56,1,45.07,6,15.0,0,0,0,0,0,0,0,0,0
83,83,3143ff0dec9bb97876c726e42b5a66c6,,3296,0,0,2012-05-30,2016-06-02,,2014-06-02,2015-06-07,,,,,239.45,0,,16.25,,,,0,0.0,34.68,34.68,1,30.02,4,13.856,0,0,0,0,0,0,0,0,0
84,84,237111445b27c435937f982ffcaef727,,362296,0,0,2011-07-31,2016-04-16,,2011-07-31,2014-12-18,,,,,32775.41,0,0.0,328.74,0.108925,0.092586,40.606701,0,0.0,-0.24,-0.24,1,2213.86,5,100.0,0,0,0,0,0,0,0,0,0
85,85,be272db990d3604a49a54887dfa904f4,,10930,0,3227,2009-07-14,2016-07-14,,2009-07-14,2015-07-15,,,,,777.96,1578,0.0,16.68,0.165793,0.0885389999999999,44.31137796,0,217.04,14.57,14.57,1,59.82,7,10.35,0,0,0,0,0,0,0,0,0
86,86,6187a71186583ed2457d182b00b632c5,,15150,0,4700,2013-03-16,2016-03-16,2013-03-16,2013-03-16,2015-03-17,619.72,619.72,2274.27,494.42,1637.98,4700,0.0,10.37,0.1640579999999999,0.086163,44.31137796,0,494.42,29.76,29.76,1,134.5,3,14.49,0,0,0,0,0,0,0,0,0
87,87,6ae7e4a3bdf96abb7783b342378ca5fc,,3251,0,0,2010-09-15,2016-09-15,,2010-09-15,2015-09-16,,,,,487.33,0,0.0,16.44,0.1457109999999999,0.0,44.31137796,0,0.0,10.08,10.08,1,47.33,5,10.392,0,0,0,0,0,0,0,0,0
88,88,cfc1377e09c9866fae771bb4180f026a,,4077,0,668,2010-07-09,2016-07-09,,2015-05-23,2015-07-10,,,,,601.62,668,0.0,16.89,0.142822,0.0,44.31137796,0,96.52,15.5,15.5,1,59.37,6,11.0,0,0,0,0,0,0,0,0,0
89,89,d4a84ff4ec620151ef05bdef0cf27eab,,16163,0,1474,2009-08-01,2016-08-01,,2009-08-01,2015-08-02,,,,,1739.46,1474,0.0,0.0,0.115174,0.098837,40.606701,0,155.19,12.9,12.9,1,181.75,6,20.7,0,0,0,0,0,0,0,0,0
